1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Modern_Eletric,Bsmt_BR,Total_BR,Total_BA,Non_BA_BR,BsmtFinSF_Ratio,TotFinSF,LvgSpaceAbvGr_Ratio,All_SF,PorchSF_Ratio,HasShed
1040,0,0,None,3,1Fam,3,1,906.0,0.0,3,1,1.0,0.0,3,134.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,0,0,0,CBlock,1,Typ,384.0,1.0,3,1,3,Detchd,1965.0,1040,0,GasA,5,1Story,11,1,3,Lvl,Gtl,11200,Inside,70.0,Reg,0,20,RL,0.0,None,0,2,Sawyer,0,5,5,Y,0,0,CompShg,Hip,Normal,129500.0,WD,0,Pave,5,1040.0,AllPub,0,1965,1965,2008,Modern,1,4,2.0,1.0,0.8711538461538462,1946.0,0.5344295991778006,1946.0,0.0,0
1182,1142,0,None,4,1Fam,3,1,998.0,0.0,6,1,1.0,0.0,5,177.0,Y,Norm,Norm,SBrkr,0,3,5,WdShing,Wd Shng,0,4,2,PConc,3,Typ,736.0,3.0,3,3,3,BuiltIn,2005.0,2324,0,GasA,5,2Story,12,1,5,Lvl,Gtl,11924,Inside,85.0,IR1,0,60,RL,286.0,Stone,0,7,NridgHt,21,5,9,Y,0,0,CompShg,Hip,Partial,345000.0,New,0,Pave,11,1175.0,AllPub,147,2005,2006,2006,Modern,1,5,4.0,0.7272727272727273,0.8493617021276596,3322.0,0.699578567128236,3490.0,0.050571944611679714,0
912,0,0,None,2,1Fam,3,1,737.0,0.0,5,1,1.0,0.0,3,175.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,Plywood,0,0,0,CBlock,1,Typ,352.0,1.0,3,1,3,Detchd,1962.0,912,0,GasA,3,1Story,13,1,3,Lvl,Gtl,12968,Inside,0.0,IR2,0,20,RL,0.0,None,0,9,Sawyer,0,6,5,Y,0,0,CompShg,Hip,Normal,144000.0,WD,176,Pave,4,912.0,AllPub,140,1962,1962,2008,Modern,1,3,2.0,1.0,0.8081140350877193,1649.0,0.5530624620982414,1965.0,0.19163129169193452,0
1494,0,0,None,3,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,4,1494.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,Typ,840.0,3.0,3,2,3,Attchd,2006.0,1494,0,GasA,5,1Story,14,1,4,Lvl,Gtl,10652,Inside,91.0,IR1,0,20,RL,306.0,Stone,0,8,CollgCr,33,5,7,Y,0,0,CompShg,Gable,Partial,279500.0,New,0,Pave,7,1494.0,AllPub,160,2006,2007,2007,Modern,0,3,2.0,0.8571428571428571,0.0,1494.0,1.0,1687.0,0.1291834002677376,0
1253,0,0,None,2,1Fam,3,1,733.0,0.0,4,1,1.0,0.0,3,520.0,Y,Norm,Norm,SBrkr,176,3,3,MetalSd,MetalSd,2,2,1,CBlock,1,Typ,352.0,1.0,3,2,3,Attchd,1960.0,1253,1,GasA,3,1Story,15,1,3,Lvl,Gtl,10920,Corner,0.0,IR1,0,20,RL,212.0,BrkFace,0,5,NAmes,213,5,6,Y,0,0,CompShg,Hip,Normal,157000.0,WD,0,Pave,5,1253.0,AllPub,0,1960,1960,2008,Modern,1,3,2.5,1.0,0.5849960095770151,1986.0,0.6309164149043303,2375.0,0.1958710976837865,0
854,0,0,None,2,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,832.0,Y,Norm,Norm,FuseA,0,3,3,Wd Sdng,Wd Sdng,2,0,0,BrkTil,1,Typ,576.0,2.0,3,1,3,Detchd,1991.0,854,0,GasA,5,1.5Unf,16,1,3,Lvl,Gtl,6120,Corner,51.0,Reg,0,45,RM,0.0,None,0,7,BrkSide,112,8,7,Y,0,0,CompShg,Gable,Normal,132000.0,WD,0,Pave,5,832.0,AllPub,48,1929,2001,2007,Hist,0,2,1.0,0.8,0.0,854.0,1.0,1014.0,0.1873536299765808,0
1004,0,0,None,2,1Fam,3,1,578.0,0.0,5,1,1.0,0.0,3,426.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,1,Typ,480.0,2.0,3,3,3,Attchd,1970.0,1004,0,GasA,5,1Story,17,1,3,Lvl,Gtl,11241,CulDSac,0.0,IR1,0,20,RL,180.0,BrkFace,700,3,NAmes,0,7,6,Y,0,0,CompShg,Gable,Normal,149000.0,WD,0,Pave,5,1004.0,AllPub,0,1970,1970,2010,Modern,1,3,2.0,0.8,0.5756972111553784,1582.0,0.6346396965865992,1582.0,0.0,1
1296,0,0,None,2,Duplex,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,Y,Norm,Norm,SBrkr,0,3,3,MetalSd,MetalSd,0,0,0,Slab,2,Typ,516.0,2.0,3,1,3,CarPort,1967.0,1296,0,GasA,3,1Story,18,2,3,Lvl,Gtl,10791,Inside,72.0,Reg,0,90,RL,0.0,None,500,10,Sawyer,0,5,4,Y,0,0,CompShg,Gable,Normal,90000.0,WD,0,Pave,6,0.0,AllPub,0,1967,1967,2006,Modern,0,2,2.0,0.8333333333333334,0.0,1296.0,1.0,1296.0,0.0,1
1114,0,0,None,3,1Fam,3,1,646.0,0.0,6,1,1.0,0.0,3,468.0,Y,RRAe,Norm,SBrkr,0,3,3,VinylSd,VinylSd,0,0,0,PConc,1,Typ,576.0,2.0,3,1,3,Detchd,2004.0,1114,1,GasA,5,1Story,19,1,4,Lvl,Gtl,13695,Inside,66.0,Reg,0,20,RL,0.0,None,0,6,SawyerW,102,5,5,Y,0,0,CompShg,Gable,Normal,159000.0,WD,0,Pave,6,1114.0,AllPub,0,2004,2004,2008,Modern,1,4,2.5,1.0,0.5798922800718133,1760.0,0.6329545454545454,1862.0,0.05795454545454545,0
1339,0,0,None,3,1Fam,3,1,504.0,0.0,2,1,0.0,0.0,3,525.0,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,Plywood,1,0,0,CBlock,1,Min1,294.0,1.0,3,1,3,Attchd,1958.0,1339,0,GasA,3,1Story,20,1,3,Lvl,Gtl,7560,Inside,70.0,Reg,0,20,RL,0.0,None,0,5,NAmes,0,6,5,Y,0,0,CompShg,Hip,Abnorml,139000.0,COD,0,Pave,6,1029.0,AllPub,0,1958,1965,2009,Modern,0,3,1.0,0.8333333333333334,0.4897959183673469,1843.0,0.7265328269126424,1843.0,0.0,0
1158,1218,0,None,4,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,5,1158.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,3,Typ,853.0,3.0,3,2,3,BuiltIn,2005.0,2376,1,GasA,5,2Story,21,1,4,Lvl,Gtl,14215,Corner,101.0,IR1,0,60,RL,380.0,BrkFace,0,11,NridgHt,154,5,8,Y,0,0,CompShg,Gable,Partial,325300.0,New,0,Pave,9,1158.0,AllPub,240,2005,2006,2006,Modern,0,4,3.5,1.0,0.0,2376.0,1.0,2770.0,0.16582491582491582,0
1108,0,0,Grvl,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,637.0,Y,Norm,Norm,FuseF,205,3,3,Wd Sdng,Wd Sdng,2,4,1,PConc,1,Typ,280.0,1.0,3,1,3,Attchd,1930.0,1108,0,GasA,5,1.5Unf,22,1,4,Bnk,Gtl,7449,Inside,57.0,Reg,0,45,RM,0.0,None,0,6,IDOTRR,0,7,7,N,0,0,CompShg,Gable,Normal,139400.0,WD,0,Pave,6,637.0,AllPub,0,1930,1950,2007,Hist,0,3,1.0,0.8333333333333334,0.0,1108.0,1.0,1313.0,0.18501805054151624,0
1795,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,4,1777.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,Typ,534.0,2.0,3,2,3,Attchd,2002.0,1795,0,GasA,5,1Story,23,1,4,Lvl,Gtl,9742,Inside,75.0,Reg,0,20,RL,281.0,BrkFace,0,9,CollgCr,159,5,8,Y,0,0,CompShg,Hip,Normal,230000.0,WD,0,Pave,7,1777.0,AllPub,171,2002,2002,2008,Modern,0,3,2.0,0.8571428571428571,0.0,1795.0,1.0,2125.0,0.18384401114206128,0
1060,0,0,None,3,TwnhsE,3,1,840.0,0.0,6,1,1.0,0.0,4,200.0,Y,Norm,Norm,SBrkr,0,3,3,CemntBd,CmentBd,0,3,1,PConc,1,Typ,572.0,2.0,3,1,3,Attchd,1976.0,1060,0,GasA,3,1Story,24,1,3,Lvl,Gtl,4224,Inside,44.0,Reg,0,120,RM,0.0,None,0,6,MeadowV,110,7,5,Y,0,0,CompShg,Gable,Normal,129900.0,WD,0,Pave,6,1040.0,AllPub,100,1976,1976,2007,Modern,1,4,2.0,0.8333333333333334,0.8076923076923077,1900.0,0.5578947368421052,2110.0,0.11052631578947368,0
1060,0,0,None,3,1Fam,3,2,188.0,668.0,3,5,1.0,0.0,3,204.0,Y,Norm,Norm,SBrkr,0,4,3,Plywood,Plywood,1,3,1,CBlock,1,Typ,270.0,1.0,3,1,3,Attchd,1968.0,1060,0,GasA,5,1Story,25,1,4,Lvl,Gtl,8246,Inside,0.0,IR1,0,20,RL,0.0,None,0,5,Sawyer,90,8,5,Y,0,0,CompShg,Gable,Normal,154000.0,WD,0,Pave,6,1060.0,AllPub,406,1968,2001,2010,Modern,1,4,2.0,0.8333333333333334,0.8075471698113208,1916.0,0.5532359081419624,2412.0,0.2588726513569937,0
1600,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,4,1566.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,Typ,890.0,3.0,3,2,3,Attchd,2007.0,1600,0,GasA,5,1Story,26,1,4,Lvl,Gtl,14230,Corner,110.0,Reg,0,20,RL,640.0,Stone,0,7,NridgHt,56,5,8,Y,0,0,CompShg,Gable,Normal,256300.0,WD,0,Pave,7,1566.0,AllPub,0,2007,2007,2009,Modern,0,3,2.0,0.8571428571428571,0.0,1600.0,1.0,1656.0,0.035,0
900,0,0,None,3,1Fam,3,2,234.0,486.0,4,3,0.0,1.0,3,180.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,Typ,576.0,2.0,3,1,3,Detchd,2005.0,900,0,GasA,3,1Story,27,1,4,Lvl,Gtl,7200,Corner,60.0,Reg,0,20,RL,0.0,None,0,5,NAmes,32,7,5,Y,0,0,CompShg,Gable,Normal,134800.0,WD,0,Pave,5,900.0,AllPub,222,1951,2000,2010,Modern,0,3,1.5,1.0,0.8,1620.0,0.5555555555555556,1874.0,0.15679012345679014,0
1704,0,0,None,3,1Fam,3,1,1218.0,0.0,6,1,1.0,0.0,5,486.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,Typ,772.0,3.0,3,2,3,Attchd,2008.0,1704,0,GasA,5,1Story,28,1,4,Lvl,Gtl,11478,Inside,98.0,Reg,0,20,RL,200.0,Stone,0,5,NridgHt,50,5,8,Y,0,0,CompShg,Gable,Normal,306000.0,WD,0,Pave,7,1704.0,AllPub,0,2007,2008,2010,Modern,1,4,3.0,0.8571428571428571,0.7147887323943662,2922.0,0.5831622176591376,2972.0,0.017111567419575632,0
1600,0,0,None,2,1Fam,3,4,1277.0,0.0,4,1,1.0,0.0,3,207.0,Y,Norm,Norm,SBrkr,0,3,3,MetalSd,MetalSd,0,4,2,CBlock,1,Typ,319.0,1.0,3,2,3,Attchd,1957.0,1600,0,GasA,3,1Story,29,1,3,Lvl,Gtl,16321,CulDSac,47.0,IR1,0,20,RL,0.0,None,0,12,NAmes,258,6,5,Y,0,0,CompShg,Gable,Normal,207500.0,WD,0,Pave,6,1484.0,AllPub,288,1957,1997,2006,Modern,1,3,2.0,0.6666666666666666,0.860512129380054,2877.0,0.5561348627042058,3423.0,0.1897810218978102,0
520,0,0,None,1,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,520.0,N,Feedr,RRNn,SBrkr,87,3,3,MetalSd,MetalSd,0,0,0,BrkTil,1,Typ,240.0,1.0,3,1,2,Detchd,1920.0,520,0,GasA,2,1Story,30,1,2,Lvl,Gtl,6324,Inside,60.0,IR1,0,30,RM,0.0,None,0,5,BrkSide,0,6,4,Y,0,0,CompShg,Gable,Normal,68500.0,WD,0,Pave,4,520.0,AllPub,49,1927,1950,2008,Modern,0,1,1.0,0.75,0.0,520.0,1.0,656.0,0.26153846153846155,0
649,668,0,Pave,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,649.0,N,Feedr,Norm,SBrkr,172,2,3,BrkFace,BrkFace,1,0,0,BrkTil,1,Typ,250.0,1.0,2,1,3,Detchd,1920.0,1317,0,GasA,3,2Story,31,1,3,Lvl,Gtl,8500,Inside,50.0,Reg,0,70,C (all),0.0,None,0,7,IDOTRR,54,4,4,N,0,0,CompShg,Gambrel,Normal,40000.0,WD,0,Pave,6,649.0,AllPub,0,1920,1950,2008,Modern,0,3,1.0,0.8333333333333334,0.0,1317.0,1.0,1543.0,0.1716021260440395,0
1228,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,1228.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,1,0,0,CBlock,1,Typ,271.0,1.0,3,1,3,Attchd,1966.0,1228,1,GasA,4,1Story,32,1,4,Lvl,Gtl,8544,CulDSac,0.0,IR1,0,20,RL,0.0,None,0,6,Sawyer,65,6,5,Y,0,0,CompShg,Gable,Normal,149350.0,WD,0,Pave,6,1228.0,AllPub,0,1966,2006,2008,Modern,0,3,1.5,1.0,0.0,1228.0,1.0,1293.0,0.052931596091205214,0
1234,0,0,None,3,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,5,1234.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,Typ,484.0,2.0,3,2,3,Attchd,2007.0,1234,0,GasA,5,1Story,33,1,4,Lvl,Gtl,11049,Corner,85.0,Reg,0,20,RL,0.0,None,0,1,CollgCr,30,5,8,Y,0,0,CompShg,Gable,Normal,179900.0,WD,0,Pave,7,1234.0,AllPub,0,2007,2007,2008,Modern,0,3,2.0,0.8571428571428571,0.0,1234.0,1.0,1264.0,0.024311183144246355,0
1700,0,0,None,4,1Fam,3,1,1018.0,0.0,3,1,0.0,1.0,3,380.0,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,BrkFace,0,4,1,CBlock,1,Typ,447.0,2.0,3,2,3,Attchd,1959.0,1700,1,GasA,4,1Story,34,1,4,Lvl,Gtl,10552,Inside,70.0,IR1,0,20,RL,0.0,None,0,4,NAmes,38,5,5,Y,0,0,CompShg,Hip,Normal,165500.0,WD,0,Pave,6,1398.0,AllPub,0,1959,1959,2010,Modern,0,4,2.0,1.1666666666666667,0.7281831187410587,2718.0,0.6254598969830758,2756.0,0.013980868285504048,0
1561,0,0,None,2,TwnhsE,3,1,1153.0,0.0,6,1,1.0,0.0,5,408.0,Y,Norm,Norm,SBrkr,0,3,5,MetalSd,MetalSd,0,4,1,PConc,2,Typ,556.0,2.0,3,3,3,Attchd,2005.0,1561,0,GasA,5,1Story,35,1,5,Lvl,Gtl,7313,Inside,60.0,Reg,0,120,RL,246.0,BrkFace,0,8,NridgHt,47,5,9,Y,0,0,CompShg,Hip,Normal,277500.0,WD,0,Pave,6,1561.0,AllPub,203,2005,2005,2007,Modern,1,3,3.0,0.8333333333333334,0.7386290839205638,2714.0,0.5751658069270449,2964.0,0.09211495946941783,0
1132,1320,0,None,4,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,5,1117.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,3,Typ,691.0,3.0,3,3,3,BuiltIn,2004.0,2452,1,GasA,5,2Story,36,1,4,Lvl,Gtl,13418,Inside,108.0,Reg,0,60,RL,132.0,Stone,0,9,NridgHt,32,5,8,Y,0,0,CompShg,Gable,Normal,309000.0,WD,0,Pave,9,1117.0,AllPub,113,2004,2005,2006,Modern,0,4,3.5,1.0,0.0,2452.0,1.0,2597.0,0.059135399673735725,0
1097,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,4,1097.0,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,0,0,0,PConc,1,Typ,672.0,2.0,3,1,3,Attchd,1995.0,1097,1,GasA,5,1Story,37,1,3,Lvl,Gtl,10859,Corner,112.0,Reg,0,20,RL,0.0,None,0,6,CollgCr,64,5,5,Y,0,0,CompShg,Gable,Normal,145000.0,WD,0,Pave,6,1097.0,AllPub,392,1994,1995,2009,Modern,0,3,1.5,1.0,0.0,1097.0,1.0,1553.0,0.41567912488605285,0
1297,0,0,None,3,1Fam,3,1,1213.0,0.0,3,1,0.0,1.0,3,84.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,1,Typ,498.0,2.0,3,3,3,Attchd,1954.0,1297,0,GasA,4,1Story,38,1,3,Lvl,Gtl,8532,Inside,74.0,Reg,0,20,RL,650.0,BrkFace,0,10,NAmes,0,6,5,Y,0,0,CompShg,Hip,Normal,153000.0,WD,0,Pave,5,1297.0,AllPub,0,1954,1990,2009,Modern,0,3,1.5,1.0,0.9352351580570547,2510.0,0.5167330677290837,2510.0,0.0,0
1057,0,0,None,3,1Fam,3,1,731.0,0.0,6,1,1.0,0.0,3,326.0,Y,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,0,0,0,CBlock,1,Typ,246.0,1.0,3,1,3,Detchd,1953.0,1057,0,GasA,3,1Story,39,1,4,Lvl,Gtl,7922,Inside,68.0,Reg,0,20,RL,0.0,None,0,1,NAmes,52,7,5,Y,0,0,CompShg,Gable,Abnorml,109000.0,WD,0,Pave,5,1057.0,AllPub,0,1953,2007,2010,Modern,1,4,2.0,1.0,0.6915799432355724,1788.0,0.5911633109619687,1840.0,0.029082774049217,0
1152,0,0,None,2,Duplex,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,N,Norm,Norm,FuseP,0,3,3,AsbShng,Plywood,0,0,0,PConc,2,Typ,0.0,0.0,0,0,0,None,1955.0,1152,0,GasA,3,1Story,40,2,2,Lvl,Gtl,6040,Inside,65.0,Reg,0,90,RL,0.0,None,0,6,Edwards,0,5,4,N,0,0,CompShg,Gable,AdjLand,82000.0,WD,0,Pave,6,0.0,AllPub,0,1955,1955,2008,Hist,0,2,2.0,0.8333333333333334,0.0,1152.0,1.0,1152.0,0.0,0
1324,0,0,None,3,1Fam,3,1,643.0,0.0,3,1,0.0,0.0,3,445.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,2,3,1,CBlock,2,Typ,440.0,2.0,3,2,3,Attchd,1965.0,1324,0,GasA,5,1Story,41,1,3,Lvl,Gtl,8658,Inside,84.0,Reg,0,20,RL,101.0,BrkFace,0,12,NAmes,138,5,6,Y,0,0,CompShg,Gable,Abnorml,160000.0,WD,0,Pave,6,1088.0,AllPub,0,1965,1965,2006,Modern,0,3,2.0,1.0,0.5909926470588236,1967.0,0.6731062531774276,2105.0,0.07015760040671072,0
